Series ID,State ID,,,Series name,State name,"Jan
2020","Feb
2020","Mar
2020","Apr
2020","May
2020","Jun
2020","Jul
2020","Aug
2020","Sep
2020","Oct
2020","Nov
2020","Dec
2020","Jan
2021","Feb
2021","Mar
2021","Apr
2021","May
2021","Jun
2021","Jul
2021","Aug
2021","Sep
2021","Oct
2021","Nov
2021","Dec
2021"
JTU000000220000000QUL,22,22,JTUQUL,"Quits levels, not seasonally adjusted",Louisiana,48,45,40,34,38,46,51,62,63,46,47,47,49,47,50,58,61,65,64,70,,,,
JTS000000220000000QUR,22,22,JTSQUR,"Quits rate, seasonally adjusted",Louisiana,2.4,2.6,2.1,1.8,1.9,2.4,2.5,2.8,3.7,2.6,3.1,3,2.7,2.9,2.8,3,3,3.2,3,3.1,,,,
JTU000000220000000QUR,22,22,JTUQUR,"Quits rate, not seasonally adjusted",Louisiana,2.5,2.3,2,2,2.2,2.6,2.9,3.4,3.5,2.5,2.6,2.5,2.7,2.6,2.8,3.2,3.3,3.5,3.5,3.8,,,,
JTS000000230000000QUL,23,23,JTSQUL,"Quits levels, seasonally adjusted",Maine,12,15,10,6,6,12,14,13,11,13,14,12,13,14,14,10,12,16,18,17,,,,
JTU000000230000000QUL,23,23,JTUQUL,"Quits levels, not seasonally adjusted",Maine,13,11,7,6,6,11,12,17,15,14,14,9,14,11,12,10,12,16,17,22,,,,
JTS000000230000000QUR,23,23,JTSQUR,"Quits rate, seasonally adjusted",Maine,1.9,2.3,1.6,1.1,1.1,2.1,2.4,2.2,1.8,2.2,2.3,2,2.2,2.3,2.3,1.6,2,2.6,2.9,2.8,,,,
JTU000000230000000QUR,23,23,JTUQUR,"Quits rate, not seasonally adjusted",Maine,2.1,1.7,1.2,1.2,1,1.9,2,2.9,2.5,2.3,2.3,1.6,2.4,1.9,2,1.6,1.9,2.5,2.7,3.4,,,,
JTS000000240000000QUL,24,24,JTSQUL,"Quits levels, seasonally adjusted",Maryland,68,56,53,37,42,45,52,44,43,55,51,45,50,52,52,67,58,64,69,72,,,,
JTU000000240000000QUL,24,24,JTUQUL,"Quits levels, not seasonally adjusted",Maryland,72,48,45,36,39,48,60,60,46,57,41,38,53,44,44,67,55,69,80,91,,,,
JTS000000240000000QUR,24,24,JTSQUR,"Quits rate, seasonally adjusted",Maryland,2.4,2,1.9,1.6,1.7,1.8,2.1,1.7,1.7,2.1,2,1.7,1.9,2,2,2.5,2.2,2.4,2.6,2.7,,,,
JTU000000240000000QUR,24,24,JTUQUR,"Quits rate, not seasonally adjusted",Maryland,2.6,1.7,1.6,1.5,1.6,1.9,2.4,2.4,1.8,2.2,1.6,1.5,2.1,1.7,1.7,2.5,2.1,2.6,3,3.4,,,,
JTS000000250000000QUL,25,25,JTSQUL,"Quits levels, seasonally adjusted",Massachusetts,60,71,49,42,32,51,44,50,55,61,60,50,65,68,75,71,70,66,78,88,,,,
JTU000000250000000QUL,25,25,JTUQUL,"Quits levels, not seasonally adjusted",Massachusetts,63,53,40,34,32,58,46,67,70,65,50,39,71,56,68,70,71,71,77,106,,,,
JTS000000250000000QUR,25,25,JTSQUR,"Quits rate, seasonally adjusted",Massachusetts,1.6,1.9,1.3,1.4,1,1.6,1.4,1.5,1.6,1.8,1.8,1.5,1.9,2,2.2,2.1,2,1.9,2.2,2.5,,,,
JTU000000250000000QUR,25,25,JTUQUR,"Quits rate, not seasonally adjusted",Massachusetts,1.7,1.4,1.1,1.1,1,1.8,1.4,2,2.1,1.9,1.5,1.2,2.1,1.7,2,2.1,2,2,2.2,3,,,,
JTS000000260000000QUL,26,26,JTSQUL,"Quits levels, seasonally adjusted",Michigan,104,99,95,56,53,87,111,107,105,118,100,112,98,115,117,157,126,103,139,128,,,,
JTU000000260000000QUL,26,26,JTUQUL,"Quits levels, not seasonally adjusted",Michigan,98,76,81,55,55,90,122,145,113,124,87,99,91,93,103,157,131,101,152,162,,,,
JTS000000260000000QUR,26,26,JTSQUR,"Quits rate, seasonally adjusted",Michigan,2.3,2.2,2.2,1.6,1.5,2.3,2.8,2.6,2.6,2.9,2.4,2.8,2.4,2.8,2.8,3.8,3.1,2.5,3.3,3.1,,,,
JTU000000260000000QUR,26,26,JTUQUR,"Quits rate, not seasonally adjusted",Michigan,2.2,1.7,1.9,1.6,1.5,2.3,3.1,3.6,2.8,3,2.1,2.5,2.3,2.3,2.5,3.8,3.2,2.4,3.6,3.9,,,,
JTS000000270000000QUL,27,27,JTSQUL,"Quits levels, seasonally adjusted",Minnesota,54,52,44,34,26,42,61,42,42,51,54,56,51,52,56,59,57,89,74,75,,,,
JTU000000270000000QUL,27,27,JTUQUL,"Quits levels, not seasonally adjusted",Minnesota,49,40,38,36,31,47,63,56,50,51,47,51,47,40,50,61,63,93,79,88,,,,
JTS000000270000000QUR,27,27,JTSQUR,"Quits rate, seasonally adjusted",Minnesota,1.8,1.7,1.5,1.3,1,1.6,2.2,1.5,1.5,1.8,1.9,2.1,1.8,1.9,2,2.1,2,3.1,2.6,2.6,,,,
JTU000000270000000QUR,27,27,JTUQUR,"Quits rate, not seasonally adjusted",Minnesota,1.7,1.3,1.3,1.4,1.2,1.7,2.3,2,1.8,1.8,1.7,1.9,1.7,1.5,1.8,2.2,2.2,3.2,2.7,3.1,,,,
JTS000000280000000QUL,28,28,JTSQUL,"Quits levels, seasonally adjusted",Mississippi,32,31,20,18,21,24,22,38,37,34,35,40,34,36,38,41,30,36,30,39,,,,
JTU000000280000000QUL,28,28,JTUQUL,"Quits levels, not seasonally adjusted",Mississippi,32,27,21,17,25,28,29,46,35,32,27,36,32,31,39,42,32,41,36,49,,,,
JTS000000280000000QUR,28,28,JTSQUR,"Quits rate, seasonally adjusted",Mississippi,2.8,2.7,1.7,1.8,2,2.2,2,3.4,3.3,3,3.1,3.6,3,3.2,3.4,3.7,2.7,3.2,2.6,3.4,,,,
JTU000000280000000QUR,28,28,JTUQUR,"Quits rate, not seasonally adjusted",Mississippi,2.8,2.4,1.8,1.6,2.3,2.6,2.7,4.1,3.1,2.8,2.4,3.2,2.9,2.8,3.4,3.7,2.9,3.6,3.2,4.3,,,,
JTS000000290000000QUL,29,29,JTSQUL,"Quits levels, seasonally adjusted",Missouri,82,84,68,52,58,67,69,66,77,64,63,75,71,78,72,75,77,90,88,94,,,,
