state_fips,state_abb,year,month,epop_all,urate_all,epop_prime,emp_overall_sa,emp_private_sa,emp_overall_nsa,emp_private_nsa,cases_level,deaths_level,cases_rate,deaths_rate,vax_rate,vax_1864_rate,quit_level_sa,quit_level_nsa,quit_rate_sa,quit_rate_nsa
49,UT,2020,4,0.6011709765855086,0.10798815740558908,0.7622584865475373,1432.2,1190.3,1432.2,1186.3,2742.5666666666666,24.066666666666666,8.561469754527219e-4,7.512890799091668e-6,NA,NA,17,21,1.2,1.5
49,UT,2020,5,0.6110383368985695,0.08402068461917613,0.7566445791441344,1477.3,1240,1477.1,1233.4,7144.645161290323,79.74193548387096,0.0022303437214002578,2.4893038229856052e-5,NA,NA,19,24,1.3,1.6
49,UT,2020,6,0.6517020480134174,0.059706819913716624,0.7793693219333004,1502.7,1264.7,1498.6,1263.3,15475.633333333333,143.13333333333333,0.004831028114132258,4.468192948933466e-5,NA,NA,29,32,1.9,2.1
49,UT,2020,7,0.6512178789786796,0.04485941327150469,0.7902931856873814,1522.5,1277.5,1506.2,1279.1,31892.677419354837,235.6451612903226,0.009955936402033362,7.356134476905277e-5,NA,NA,39,42,2.6,2.8
49,UT,2020,8,0.6538560253333818,0.047186820059585126,0.7884809474827946,1538.9,1288.1,1529.2,1293.6,46619,365.38709677419354,0.01455305219513246,1.1406288188898846e-4,NA,NA,39,49,2.5,3.2
49,UT,2020,9,0.6572166738238358,0.044006325401406275,0.7930500091647839,1538.8,1293.8,1545.6,1297.9,61014.86666666667,435.6,0.019047009572900484,1.3598124233037386e-4,NA,NA,37,39,2.4,2.5
49,UT,2020,10,0.6464263887798247,0.03006153160028609,0.7818783667705845,1546.6,1304.1,1557.3,1310.5,92630.83870967742,535.6451612903226,0.02891656686374293,1.6721233810953063e-4,NA,NA,36,34,2.3,2.2
49,UT,2020,11,0.6428030424219586,0.04189131853018292,0.7895210230349352,1559.6,1317.8,1570.4,1324.8,155432.43333333332,731.6333333333333,0.04852133926331423,2.2839396142557207e-4,NA,NA,37,28,2.4,1.8
49,UT,2020,12,0.6522868620709206,0.027386544684706946,0.797018559275573,1565.1,1322.3,1578.9,1332.3,239650.51612903227,1088.5483870967741,0.07481169630014027,3.3981212583595975e-4,0,0,36,32,2.3,2
49,UT,2021,1,0.655985823619965,0.04734796850983277,0.7960074589176547,1570.1,1327.1,1552,1310,317501.48387096776,1477.3225806451612,0.0991144311719728,4.611757572057919e-4,0,0,41,43,2.6,2.7
49,UT,2021,2,0.6481090365687017,0.043957403932158044,0.7910590263811592,1578.7,1335.1,1568.1,1321.9,360784.60714285716,1798.607142857143,0.11262612280294212,5.614711518595007e-4,0,0,48,38,3,2.4
49,UT,2021,3,0.6532405261819422,0.024077763672761106,0.7987996318318912,1584.6,1340.8,1579.8,1332.5,379085.4193548387,2034.0645161290322,0.11833908694490752,6.349738748470077e-4,7.77741935483871,7.860120552089226,43,38,2.7,2.4
49,UT,2021,4,0.6522920537293624,0.03445711157716209,0.7811977357059199,1592.4,1348,1590.9,1341.7,391801.9,2162.733333333333,0.12230879042562191,6.751404166574316e-4,18.03,20.176122431620648,40,47,2.5,3
49,UT,2021,5,0.6703541610273653,0.03090104570958955,0.80339039691136,1589.9,1349.5,1591.5,1342.5,402369.7419354839,2257.967741935484,0.12560775340803265,7.048697398767127e-4,28.858064516129033,36.33782399677582,29,35,1.8,2.2
49,UT,2021,6,0.6738680986574174,0.027551218339768216,0.7972414131226989,1598,1359.6,1601.7,1361.4,410463.3,2328.866666666667,0.12813431924936855,7.270022556362029e-4,34.94,44.47244923498576,46,48,2.9,3
49,UT,2021,7,0.6555155735502781,0.029770363856741502,0.7839924492424161,1613.3,1367.4,1605.6,1376.5,422872.87096774194,2410.2580645161293,0.13200821474289584,7.524102064961103e-4,41.47741935483871,51.46330797135567,43,48,2.7,3
49,UT,2021,8,0.6579139690278106,0.032367805731174495,0.8008515188274766,1619.9,1371.3,1614.5,1380.7,447649.8064516129,2544.935483870968,0.13974283014288735,7.94452453506486e-4,46.12903225806451,56.511554955157514,42,53,2.6,3.3
49,UT,2021,9,0.6641916839575148,0.015402089679435137,0.802072815877415,1618.9,1371.1,1625.2,1375.4,466188,2640,0.14552989761136897,8.241287413962052e-4,47.8,58.343721164925235,NA,NA,NA,NA
50,VT,2020,1,0.6335174717453526,0.03232154677074188,0.8396769888647393,314.8,259.1,313.1,257.5,NA,NA,NA,NA,NA,NA,7,6,2.2,1.9
50,VT,2020,2,0.6293205100516409,0.02097363944842172,0.8301987933707203,314.5,258.5,315.7,258,NA,NA,NA,NA,NA,NA,7,5,2.2,1.5
50,VT,2020,3,0.6346176045671045,0.031271378163093874,0.8544929903870143,312.4,256.6,312.4,255.6,74,3.72,1.1858100204151618e-4,5.961099021546489e-6,NA,NA,5,5,1.6,1.5
50,VT,2020,4,0.5632619109959166,0.14898596575926368,0.7516262616586021,251,198.9,248.7,195.5,705.2666666666667,31.933333333333334,0.0011301517302677473,5.117144142151914e-5,NA,NA,1,4,0.4,1.7
50,VT,2020,5,0.5862181878969083,0.10224395432105875,0.7844759619242506,266.5,215.3,264,211.8,936.4193548387096,53.25806451612903,0.0015005614247005986,8.534317104208509e-5,NA,NA,1,4,0.4,1.4
50,VT,2020,6,0.6022906686816016,0.08063637404969287,0.766857518592487,272.8,221,272.2,221.2,1118.3666666666666,55.43333333333333,0.0017921221619346438,8.882892179956819e-5,NA,NA,5,5,1.8,1.9
50,VT,2020,7,0.6055373627990405,0.07110459742563681,0.7771760066861072,277.2,224.2,272.7,226.2,1322.7096774193549,56.064516129032256,0.0021195707967351044,8.984035812909987e-5,NA,NA,6,5,2.2,2
50,VT,2020,8,0.5863541258613381,0.046408966632768056,0.78799122696512,281.7,228.7,279.1,230.7,1512.2903225806451,57.83870967741935,0.002423363538233792,9.268340743698279e-5,NA,NA,5,6,1.8,2.1
50,VT,2020,9,0.5732406909502572,0.04470221542121817,0.8076958191656094,287.8,235.5,288.4,235.7,1692.5666666666666,58,0.0027122466399378676,9.294186646497214e-5,NA,NA,6,6,2.1,2.1
50,VT,2020,10,0.6049835546026826,0.023501148234671244,0.8297917428732698,286.7,235.9,291.1,238,1937.9032258064517,58,0.0031053852212921027,9.294186646497214e-5,NA,NA,7,6,2.4,2
50,VT,2020,11,0.6109862665278973,0.02632483020094211,0.8277196427764698,287.1,236.4,291,238,3049.4,61.03333333333333,0.004886498751694586,9.78026192513586e-5,NA,NA,8,7,2.8,2.4
50,VT,2020,12,0.5934420229608787,0.03663946335213018,0.7997229762275601,286.1,235.4,292.9,240.1,5975.741935483871,102.2258064516129,0.009575803603394415,1.6381133193965334e-4,0,0,7,5,2.4,1.7
50,VT,2021,1,0.5816013058663922,0.03636401397882557,0.7930244061200884,287.4,236.6,285.6,234.7,9800.387096774193,160.61290322580646,0.015704590842300397,2.573735000717999e-4,0,0,6,6,2.1,2
50,VT,2021,2,0.5744133709595273,0.05182361848081055,0.8027830482868077,287.1,236.2,287.9,234.8,13705.607142857143,190.42857142857142,0.02196249498091029,3.0515149753154643e-4,0,0,7,5,2.4,1.6
50,VT,2021,3,0.5889522174007334,0.04760050800860615,0.7958265240368049,289.3,238.4,290.1,237,17151.09677419355,215.51612903225808,0.027483705967498467,3.453529531993764e-4,12.141935483870968,10.70258475976162,7,6,2.4,2.2
50,VT,2021,4,0.6059217535929331,0.0485356211034257,0.8189994124901063,291.6,240.8,287.9,235.2,21521.1,237.36666666666667,0.034486400041022616,3.803672592511877e-4,28.893333333333334,23.08315329164676,4,7,1.4,2.6
50,VT,2021,5,0.614773384271095,0.039947764689001464,0.8247244975816364,293.7,242.8,291.3,239.9,23773.225806451614,252.09677419354838,0.03809530997146302,4.039714607473622e-4,46.95161290322581,46.87106089005373,4,6,1.4,2.2
50,VT,2021,6,0.5989018455599483,0.04846628200255411,0.8123074341975933,295.2,244,295.6,244.5,24331.833333333332,255.9,0.03899044835370042,4.100659246273512e-4,61.776666666666664,66.07114416491818,7,7,2.4,2.4
50,VT,2021,7,0.6273586426584966,0.032469881217003296,0.8424909259187708,300.9,246.7,298.6,250.3,24575.1935483871,258.4516129032258,0.03938041995043169,4.1415474645014276e-4,66.70322580645161,71.24175823439417,9,8,3,2.8
50,VT,2021,8,0.612086698909175,0.03298306203881057,0.8196378088661103,298.7,245.3,296,248.9,26368.8064516129,266.35483870967744,0.042254587725284516,4.268192388216212e-4,67.52258064516128,72.11014664462385,8,9,2.7,2.9
50,VT,2021,9,0.6106483004230951,0.020818360536795616,0.8486923057433141,295.8,244.2,295.6,243.6,28399,277,0.04550786320239213,4.4387753466891864e-4,67.9,72.50114257224173,NA,NA,NA,NA
51,VA,2020,1,0.6441671362589525,0.03218862249066448,0.8244082599814512,4089.1,3352,4041.4,3309,NA,NA,NA,NA,NA,NA,102,98,2.5,2.4
51,VA,2020,2,0.6598330802035828,0.0211357033294354,0.8406664316544031,4091,3353.8,4055.2,3311,NA,NA,NA,NA,NA,NA,83,73,2,1.8
51,VA,2020,3,0.6467461995444695,0.0293993654119161,0.8441792955482996,4069.6,3330.6,4046.2,3298.2,279.04,6.48,3.2610923771264474e-5,7.573064293212221e-7,NA,NA,76,70,1.9,1.7
51,VA,2020,4,0.575815732775572,0.10670432035741108,0.783024458211849,3611,2897.7,3618.2,2893.1,7463.566666666667,233.96666666666667,8.72254170113307e-4,2.7343281005173136e-5,NA,NA,64,61,1.8,1.7
51,VA,2020,5,0.5867291300279835,0.09160723650445897,0.7988342834058392,3633.2,2933.7,3640.8,2935.9,29851.967741935485,989.8387096774194,0.003488748009082942,1.1568074364656362e-4,NA,NA,55,58,1.5,1.6
51,VA,2020,6,0.6039690976438984,0.09266093912236079,0.7765736860824445,3703.8,3011,3731.1,3036.7,54810.5,1568.5333333333333,0.006405608648813402,1.833117867188242e-4,NA,NA,65,71,1.8,1.9
51,VA,2020,7,0.6010058198055414,0.08874406408098401,0.7738397692055465,3758.7,3072.9,3765.2,3107.9,75187.80645161291,1988.4193548387098,0.008787069325982425,2.323831422231653e-4,NA,NA,70,82,1.9,2.2
51,VA,2020,8,0.6118007224029918,0.07212772223910062,0.7804750909499423,3830.7,3111.3,3823.3,3134.6,106176.48387096774,2393.1935483870966,0.012408662635525447,2.796884044450027e-4,NA,NA,68,90,1.8,2.4
51,VA,2020,9,0.5954944619956914,0.06721046384371825,0.7644015438022456,3856,3146.7,3849.7,3140.1,135660.33333333334,2882.766666666667,0.01585438929586318,3.369039708178356e-4,NA,NA,84,86,2.2,2.2
51,VA,2020,10,0.6001792642713211,0.0584082033958392,0.7509011036709965,3878.2,3168.1,3892.8,3179.7,164054.09677419355,3433.7741935483873,0.019172719482034372,4.0129927061905677e-4,NA,NA,91,96,2.3,2.5
51,VA,2020,11,0.6074440613245665,0.04550099775490671,0.7778108810237399,3888.1,3180.8,3915,3194.6,206525.7,3837.3333333333335,0.024136302535503997,4.4846253160215575e-4,NA,NA,93,81,2.4,2.1
51,VA,2020,12,0.5999674078918416,0.04847892784884159,0.7953159229923609,3881.1,3182.3,3894.2,3187.4,292785.48387096776,4523.903225806452,0.0342173347758347,5.287007713781237e-4,0,0,83,71,2.1,1.8
